500,1,0.037776900,0.036656400,0.970339,0.970339
1000,1,0.385977900,0.368779000,0.955441,0.955441
2000,1,3.472007800,3.476369100,1.001256,1.001256
4000,1,37.992522000,32.805435200,0.863471,0.863471
500,4,0.010700600,0.036957500,1.453778,0.863445
1000,4,0.139092700,0.386265900,2.377039,0.694260
2000,4,1.823640800,3.537456600,1.939777,0.484944
4000,4,17.211435400,30.001026300,1.743087,0.435772
500,16,0.017055700,0.037214500,6.481939,0.136371
1000,16,0.088971800,0.392976200,6.616862,0.276054
2000,16,1.517612600,3.506172400,6.810321,0.144395
4000,16,15.221183800,30.890701600,7.129455,0.126841
500,25,0.027015600,0.036513600,7.851575,0.084063
1000,25,0.168752600,0.395894100,8.346003,0.093840
2000,25,1.133811900,3.500041000,8.586968,0.123479
4000,25,14.996636400,29.834427500,9.989408,0.079576
